transID,payCardID,payCardBank,payCardName,payCardSex,payCardBirthDate,corridorID,corridorName,direction,tapInStops,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStops,tapOutStopsName,tapOutStopsLat,tapOutStopsLon,stopEndSeq,tapOutTime,payAmount
MKND874X1D96HF,2.13155E+14,emoney,Tgk. Ilsa Farida,M,1983,R1A,Pantai Maju - Kota,0,B06040P,Pantai Maju,-6.093637,106.75068,0,4/3/2023 5:45,B03322P,SD Diakonia 1,-6.112155,106.7893,23,4/3/2023 6:22,3500
LFYJ535S2I30DP,4.68222E+12,online,"Drs. Nadia Ramadan, S.Sos",M,1960,M1,Blok M - Kota,0,P00183,Polda Metro Jaya,-6.221094,106.81028,5,4/3/2023 6:15,P00104,Karet Sudirman,-6.212457,106.82003,7,4/3/2023 6:50,3500
TCKQ601Q5O01BC,3.58938E+15,dki,drg. Lukman Hidayanto,M,1995,JAK.46,Pasar Minggu - Jagakarsa,1,B00001P,18 Office Park,-6.299146,106.8321,19,4/3/2023 6:14,,,,,,,0
KQIA358G2N38CX,4.39468E+15,dki,"Ibrahim Prayoga, S.H.",F,2001,7E,Kampung Rambutan - Ragunan,0,B02831P,Phe Tower Kebagusan,-6.299876,106.83323,16,4/3/2023 5:11,B02868P,Plaza Oleos,-6.29771,106.82965,17,4/3/2023 5:38,3500
RANO576G1J87EO,4.90573E+15,dki,Ega Andriani,F,1990,1P,Senen - Blok M,0,B00102P,Balai Kota 1,-6.180598,106.82847,12,4/3/2023 6:26,B00221P,Bundaran Senayan 1,-6.227445,106.80187,29,4/3/2023 6:51,3500
NZCE828E4J23AW,3.79335E+14,emoney,Salman Ramadan,M,1968,7D,Pancoran - Kampung Rambutan,0,P00039,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,4/3/2023 6:44,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,13,4/3/2023 7:28,3500
OFPJ170M5O75AP,3.46911E+14,emoney,Zizi Nasyiah,M,1985,6H,Senen - Lebak Bulus,1,P00128,Lebak Bulus,-6.289413,106.77415,0,4/3/2023 5:12,P00121,Kuningan Timur,-6.234731,106.82902,15,4/3/2023 5:35,3500
LKXU174O1E59EP,2.2471E+15,dki,"Tgk. Aris Pradipta, M.M.",F,2010,14,Jakarta International Stadium - Senen,1,B01311P,Jln. Kwitang Timur,-6.173788,106.85185,2,4/3/2023 6:47,B03885P,Sbr. Jembatan Sukamulya III,-6.170489,106.85205,3,4/3/2023 7:34,3500
AXTN077R7Z77JM,6.7599E+11,flazz,Margana Narpati,F,1989,BW9,Monas - Pantai Indah Kapuk,1,B02476P,Monas 2,-6.175999,106.82311,7,4/3/2023 6:29,B02477P,Monas 3,-6.178787,106.82304,8,4/3/2023 7:24,0
WQXL397G5U61OY,6.3904E+11,flazz,"Galang Megantara, S.Ked",M,1989,JIS3,Harmoni - Jakarta International Stadium,0,P00114,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,4/3/2023 6:32,P00161,Pecenongan,-6.16771,106.82819,12,4/3/2023 7:20,3500
RLLZ887W3V14WZ,4.94744E+15,dki,Rahayu Rahayu,F,2006,5M,,1,B02994P,PTUN Jakarta,-6.196388,106.84025,16,4/3/2023 5:29,B05707P,Term. Kampung Melayu 2,-6.224516,106.86685,30,4/3/2023 5:58,3500
JJEK861K6E37KF,3.53954E+15,dki,"Dr. Zulfa Tamba, S.E.I",M,1986,2,,0,P00202,Rawa Selatan,-6.173925,106.85809,9,4/3/2023 5:28,P00137,Monas,-6.176248,106.82286,19,4/3/2023 6:02,3500
UANX737M9L25GI,5.74727E+11,flazz,drg. Lukita Rajata,F,1983,JAK.15,Bulak Turi - Tanjung Priok,0,B02761P,Pertamina Kilang Minyak,-6.108789,106.90537,41,4/3/2023 5:12,B01056P,Jln. Elpa Putih II,-6.110053,106.88721,50,4/3/2023 5:50,0
VUWZ891M7I57EB,3.44304E+14,emoney,"R. Mila Wahyuni, S.Sos",F,2006,R1A,Pantai Maju - Kota,1,,Jln. BB Utara,-6.120279,106.79409,12,4/3/2023 6:50,B00242P,Centro Metro Broadway,-6.116362,106.76143,29,4/3/2023 7:30,3500
CXLW459Z3A28RD,3.54493E+15,dki,"Artawan Iswahyudi, M.Pd",M,1991,6N,Ragunan - Blok M via Kemang,0,B00039P,Ampera Garden,-6.288794,106.81818,6,4/3/2023 5:43,B00066P,Arsip Nasional RI 1,-6.279439,106.81987,10,4/3/2023 6:19,3500
AQPU510X2X44PT,4.0178E+15,dki,Aurora Hasanah,F,1990,M11,Pulo Gebang - Pulo Gadung 2,0,P00102,Kampung Sumur,-6.214412,106.91189,6,4/3/2023 6:02,P00058,Flyover Klender,-6.213596,106.90306,7,4/3/2023 6:30,3500
BRUT293K1O98GA,5.46531E+15,dki,Hj. Rahmi Hartati,F,2010,JAK.112,Terminal Tanah Merah - Pulo Gadung,0,B01067P,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,4/3/2023 6:59,B04854P,Simpang Jln. Bongo Raya,-6.170743,106.91001,17,4/3/2023 7:32,0
MMEX885R3T18QL,3.47394E+14,emoney,Darmaji Wahyuni,F,2003,9N,Pinang Ranti - Pramuka,0,P00064,Garuda Taman Mini,-6.290154,106.88116,1,4/3/2023 5:49,P00016,BKN,-6.257751,106.87,2,4/3/2023 6:39,3500
UNFK619O2R74DX,4.72325E+15,dki,Cager Setiawan,M,1965,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0,B03675P,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,4/3/2023 5:04,B05440P,St. Duren Kalibata 4,-6.255071,106.85506,23,4/3/2023 5:47,0
FTGY161E2O14MG,3.5455E+15,dki,Cawuk Mayasari,F,2002,JAK.42,Kampung Melayu - Pondok Kelapa,1,B03484P,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,4/3/2023 5:35,B03953P,Sbr. Klinik Win Medika,-6.22016,106.89843,22,4/3/2023 5:56,0
ELVU605Z3W26IF,2.71807E+15,dki,Asman Uyainah,F,2005,2,Pulo Gadung - Monas,0,P00202,Rawa Selatan,-6.173925,106.85809,9,4/3/2023 6:35,P00161,Pecenongan,-6.16771,106.82819,18,4/3/2023 7:17,3500
KPDA909R2T72GD,3.42532E+14,emoney,Zulaikha Yulianti,F,1991,13,Ciledug - Tendean,1,P00044,CSW 1,-6.23994,106.79843,3,4/3/2023 5:51,P00268,Velbak,-6.239433,106.78552,5,4/3/2023 6:16,3500
GIHF067H1Y81IV,3.49944E+14,emoney,Oliva Sirait,M,1983,7P,Pondok Kelapa - BKN,1,B02032P,Komplek Dolog Jaya,-6.24794,106.91572,15,4/3/2023 6:08,B01624P,Jln. Swakarsa III Pondok Kelapa,-6.244759,106.94249,30,4/3/2023 6:40,3500
IXJW013G5W79VX,4.42858E+18,brizzi,"dr. Belinda Handayani, S.E.",M,2002,JAK.02,Kampung Melayu - Duren Sawit,0,B02665P,Ps. Pondok Bambu 1,-6.238102,106.90243,29,4/3/2023 6:36,B00636P,Gereja Santa Anna 1,-6.233953,106.90998,33,4/3/2023 7:13,0
PKAM574R5S22UG,5.66172E+11,flazz,Laila Simanjuntak,F,1992,11,Pulo Gebang - Matraman,1,P00151,Pasar Enjo,-6.214881,106.87819,3,4/3/2023 5:13,P00080,Imigrasi Jakarta Timur,-6.214632,106.88227,4,4/3/2023 6:02,3500
IQBJ843C4G34DE,2.13122E+14,emoney,Pranata Wahyudin,F,2009,JAK.36,Cilangkap - Cililitan,0,B02638P,Ps. Kramat Jati 2,-6.269037,106.86664,40,4/3/2023 5:58,B01428P,Jln. Olahraga 1 Raya Bogor,-6.267006,106.86595,41,4/3/2023 6:39,0
SRIX686S0S08SW,3.52785E+15,dki,Puti Paris Marpaung,M,2003,13B,Puri Beta - Pancoran Barat,1,P00106,Kebayoran Lama,-6.23834,106.77752,8,4/3/2023 6:33,P00096,JORR,-6.236104,106.75488,12,4/3/2023 7:29,3500
MLTY652D7F29HW,5.54249E+15,dki,Sutan Narji Nasyidah,M,2001,1Q,Rempoa - Blok M,1,B02540P,One Park Residences,-6.245436,106.78844,9,4/3/2023 6:51,B00959P,Jln. Bungur,-6.247708,106.7814,11,4/3/2023 7:29,3500
NICD824U6H93DE,4.38088E+15,dki,Tirtayasa Sitorus,F,1988,JAK.06,Kampung Rambutan - Pondok Gede,0,B01301P,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,4/3/2023 5:37,B02767P,Pertigaan Cedang 1,-6.301603,106.9125,24,4/3/2023 6:06,0
YEOK544W1J67OX,4.17224E+15,dki,"Galak Prayoga, S.Pd",M,1993,JAK.14,Tanah Abang - Meruya,1,B01875P,Kec. Kembangan,-6.195068,106.74247,7,4/3/2023 5:33,B01180P,Jln. Jeruk Manis,-6.197439,106.76534,18,4/3/2023 6:13,0
OPNL705D9K64FN,3.40065E+14,emoney,Tgk. Garda Utami,F,2010,M7,Kampung Rambutan - Monas,0,P00145,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,4/3/2023 5:43,P00025,Bundaran HI,-6.193021,106.823,24,4/3/2023 6:16,3500
KHKM512K0T88LD,4.26864E+15,dki,"Elvina Situmorang, S.Psi",F,1985,JAK.15,Bulak Turi - Tanjung Priok,0,B05351P,SMPN 143,-6.108442,106.93549,16,4/3/2023 5:15,B01325P,Jln. Lorong 22,-6.108141,106.89932,44,4/3/2023 5:51,0
RHUT145C1U25ZY,4.29056E+12,online,Lutfan Hakim,M,2011,T21,,1,B00589P,GBK Pintu 7,-6.222095,106.80861,3,4/3/2023 5:43,B02556P,Palem Semi 1,-6.218812,106.61807,14,4/3/2023 6:09,20000
TWAK265Z0M88QR,2.13155E+14,emoney,Restu Waluyo,F,1984,12A,,0,B05324P,SMKN 56,-6.119094,106.79423,9,4/3/2023 6:13,P00138,Museum Fatahillah,-6.13393,106.81209,18,4/3/2023 6:50,3500
JQIF022K9P74RM,4.29448E+15,dki,Gara Sitompul,F,1999,9D,Pasar Minggu - Tanah Abang,0,B00693P,Grand Pasar Minggu,-6.290648,106.84236,45,4/3/2023 6:46,B02647P,Pasar Minggu,-6.284413,106.84414,47,4/3/2023 7:09,3500
MQCN972F9X71NY,1.80058E+14,emoney,Daryani Prabowo,M,1989,1,Blok M - Kota,1,P00104,Karet Sudirman,-6.212457,106.82003,14,4/3/2023 6:20,P00133,Masjid Agung,-6.236483,106.79845,19,4/3/2023 7:10,3500
KINJ335N6L86YT,3.55117E+15,dki,Gangsa Widodo,M,1966,3A,Rusun Pesakih - Kalideres,1,B02760P,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,4/3/2023 6:38,B03286P,Rusun Pesakih,-6.161468,106.71698,4,4/3/2023 7:03,0
TDIY341Y5S79UU,3.40858E+14,emoney,"Yance Pratama, S.Kom",F,1994,6N,Ragunan - Blok M via Kemang,1,B04209P,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,4/3/2023 6:51,B03197P,RSIA Kemang,-6.285839,106.8188,18,4/3/2023 7:17,3500
TFRA396G6W78PD,3.56956E+15,dki,"dr. Sakura Budiman, S.IP",M,1972,3C,Rusun Kapuk Muara - Penjaringan,1,P00170,Penjaringan,-6.126306,106.79203,0,4/3/2023 6:16,B03277P,Rusun Kapuk Muara,-6.135667,106.76299,1,4/3/2023 7:11,0
GXOP506G9B61EP,1.80017E+14,emoney,"Zalindra Irawan, M.TI.",M,1992,M8,Lebak Bulus - Pasar Baru,0,P00245,Tanah Kusir Kodim,-6.256997,106.78168,20,4/3/2023 5:19,P00184,Pondok Indah 1,-6.286761,106.77999,22,4/3/2023 5:47,3500
XESL868N6A66XN,3.73945E+14,emoney,"Jamal Pudjiastuti, S.I.Kom",F,1981,B21,Bekasi Timur - Cawang,1,B02263P,Masjid Amar Maruf 2,-6.255062,107.02206,7,4/3/2023 5:02,B05622P,Taman Margahayu 2,-6.24846,107.02153,10,4/3/2023 5:57,3500
IVHH403J9T51JH,5.13453E+15,dki,Suci Wacana,M,1985,12A,Pelabuhan Kaliadem - Kota,1,B05253P,SMAK Penabur Enam 2,-6.115644,106.77506,15,4/3/2023 6:12,B02709P,Pelabuhan Kali Adem,-6.104615,106.77094,18,4/3/2023 7:12,3500
OTGH855B8A29BP,3.54916E+15,dki,"Mustofa Wijayanti, M.Farm",M,1981,1T,Cibubur - Balai Kota,0,B02408P,Menara Astra,-6.207361,106.8219,7,4/3/2023 5:57,,,,,,,20000
YJMS457L2O20JF,3.79764E+14,emoney,Saka Sihombing,F,1969,JAK.71,Kampung Rambutan - Pinang Ranti,0,B03360P,SDN Dukuh 01,-6.287794,106.87406,18,4/3/2023 5:12,B04218P,Sbr. Polsek Makasar,-6.29086,106.8844,21,4/3/2023 6:06,0
NNAE999Q4V92XM,4.18964E+18,brizzi,Mutia Mayasari,M,1978,JAK.77,Tanjung Priok - Jembatan Item,0,B06877P,Simpang Jln. Cemara,-6.12663,106.85721,1,4/3/2023 5:11,B06065P,Puskesmas Sunter Agung I,-6.132513,106.85557,9,4/3/2023 5:35,0
UCMI767D7M79GS,4.76601E+15,dki,"Danu Suartini, S.Farm",M,2010,M3,,1,P00237,Sumur Bor,-6.153046,106.71929,2,4/3/2023 6:49,P00009,Bank Indonesia Arah Selatan,-6.184784,106.82326,14,4/3/2023 7:21,3500
ZHFN555D9L05LU,3.57624E+15,dki,Harsaya Natsir,F,1970,JAK.44,Andara - Stasiun Universitas Pancasila,0,B04386P,Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621,25,4/3/2023 5:50,B06832P,Gg. H. Ali,-6.327369,106.833219,34,4/3/2023 6:37,0
WHTZ386I9S44YF,5.87888E+11,flazz,Drs. Harjo Nurdiyanti,M,1986,14,Jakarta International Stadium - Senen,0,B00292P,Danau Agung 1,-6.147281,106.8582,8,4/3/2023 6:42,B00770P,Honda Letjen Suprapto,-6.174933,106.84973,16,4/3/2023 7:08,3500
VHUC320U1S58CB,5.67286E+11,flazz,"Dt. Atmaja Suartini, M.Farm",F,2000,JAK.48B,Stasiun Tebet - Kampung Melayu,0,B02272P,Masjid As Sudairi,-6.220626,106.8591,1,4/3/2023 6:12,B01732P,Jatinegara Timur,-6.220486,106.86825,11,4/3/2023 6:57,
DBWI728C0M55ND,4.09712E+12,online,Dewi Mansur,M,1994,8K,Batusari - Grogol,1,B05177P,Simpang Tj. Duren Timur 5,-6.180482,106.78375,12,4/3/2023 6:41,B03637P,Sbr. Jln. Angsana Kemanggisan,-6.194813,106.78213,16,4/3/2023 7:20,3500
HHCJ093F0W41XK,3.78851E+14,emoney,Tina Hutasoit,F,1981,JAK.19,Pinang Ranti - Kampung Rambutan,0,B00563P,Gg. Suka Damai,-6.295718,106.89906,14,4/3/2023 5:57,B01297P,Jln. Kramat I Rawabinong,-6.298205,106.9054,27,4/3/2023 6:49,0
JUNS207R4F95UA,1.80023E+14,emoney,"Tgk. Tania Zulaika, M.Pd",F,2010,M10,PGC 2 - Tanjung Priok,1,P00287,Permai Koja Arah Selatan,-6.114359,106.89314,2,4/3/2023 5:59,P00105,Kayu Putih Rawasari,-6.187453,106.87542,10,4/3/2023 6:47,3500
LFIW578V8Y12XO,2.23744E+15,dki,Latika Sirait,M,1953,10D,Kampung Rambutan - Tanjung Priok,1,P00036,Cempaka Putih,-6.174207,106.87642,9,4/3/2023 6:03,P00182,Plumpang Pertamina Arah Utara,-6.12848,106.8937,13,4/3/2023 6:28,3500
GYVC538M6B25WO,6.01116E+15,dki,Lasmanto Budiman,M,1989,JAK.75,Cililitan - Kp. Pulo,0,B00671P,Graha Dirgantara,-6.255702,106.88296,4,4/3/2023 5:42,B03786P,Sbr. Jln. Masjid Al Munir,-6.271471,106.87734,25,4/3/2023 6:21,0
QRFR658M6P01AH,4.73028E+18,brizzi,Zamira Puspita,M,1977,B11,Summarecon Bekasi - BNN,0,B01728P,Jatibening 1,-6.257161,106.94651,5,4/3/2023 6:08,B00232P,Cawang Blue Bird,-6.248836,106.87801,6,4/3/2023 6:41,3500
TKQW976R2D32RY,3.50571E+15,dki,T. Bagas Halimah,F,1994,JAK.52,Terminal Kalideres - Terminal Muara Angke,0,B01829P,Karang Asri,-6.112414,106.77306,26,4/3/2023 5:21,B05714P,Term. Muara Angke 2,-6.109001,106.77349,27,4/3/2023 6:12,0
PCGM443G2W62OB,4.4504E+15,dki,"Dr. Intan Mulyani, S.E.I",M,1977,JAK.37,Cililitan - Condet via Kayu Manis,0,B00908P,Jln. Batu Permata V,-6.279588,106.86244,12,4/3/2023 5:36,B04716P,Simpang Batu Ampar IV Inerbang,-6.28148,106.86361,14,4/3/2023 6:25,0
PEGV120E5W96OH,4.07411E+18,brizzi,Vero Hutagalung,F,1983,JAK.31,Blok M - Andara,0,B03711P,Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043,18,4/3/2023 6:07,B05388P,SMPN 68,-6.278279,106.79964,30,4/3/2023 6:44,0
BUQT197K3D65PN,4.00004E+12,online,Diah Marpaung,M,2012,11M,Rusun Rawa Bebek - Bukit Duri,0,P00169,Penggilingan,-6.214132,106.93961,2,4/3/2023 5:32,P00174,Perumnas Klender,-6.216689,106.93054,3,4/3/2023 6:27,0
UNSO267V8F26WP,4.11233E+12,online,"Drs. Gilda Sinaga, S.Psi",M,1994,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1,B06086P,Tebet Eco Park Selatan 3,-6.241699,106.85365,1,4/3/2023 6:23,B06268P,Rusun Harum Tebet,-6.235196,106.85195,4,4/3/2023 7:14,0
RHCN069U6G42WD,3.05835E+13,bni,Bahuwirya Rahayu,M,1981,2F,Rusun Cakung Barat - Pulo Gadung,1,B06183P,Jln. Anggrek Raya,-6.205168,106.9229,8,4/3/2023 5:13,P00191,PTC Pulo Gadung,-6.182622,106.91561,15,4/3/2023 6:04,0
QMHC825R0K38KM,3.53754E+15,dki,Samsul Ramadan,M,1966,M11,,1,P00158,Pasar Pulo Gadung,-6.187434,106.90591,0,4/3/2023 6:23,,Walikota Jakarta Timur,-6.21254,106.94537,7,4/3/2023 6:52,3500
WGRY331M3O87VE,2.72048E+15,dki,Bancar Irawan,M,1999,3B,Rusun Flamboyan - Cengkareng,0,B03206P,RSUD Boulevard Raya,-6.13781,106.7304,4,4/3/2023 6:50,B02195P,Mall Taman Palem 3,-6.140548,106.73011,6,4/3/2023 7:46,0
TKRV681O2S46RW,3.57042E+15,dki,"Jati Nainggolan, M.TI.",F,1987,8C,Kebayoran Lama - Tanah Abang,1,P00083,Jak Lingko Tanah Abang,-6.185496,106.81105,0,4/3/2023 5:57,B01638P,Jln. Taman Jatibaru Timur,-6.182778,106.8129,3,4/3/2023 6:55,3500
ELFD362R2U94NT,2.2914E+15,dki,Puspa Saptono,F,1984,M2,Pulo Gadung - Monas,0,P00014,Bermis,-6.178203,106.89859,1,4/3/2023 5:20,P00006,Atrium,-6.176251,106.84023,12,4/3/2023 6:04,3500
YYXK265F5N59SE,6.76173E+11,flazz,"Dr. Zaenab Wulandari, S.Ked",M,1996,12B,Pluit - Senen,1,B05080P,Simpang Pluit Raya,-6.127123,106.80441,26,4/3/2023 5:43,P00123,Landmark Pluit Auto Plaza,-6.125258,106.79971,28,4/3/2023 6:29,3500
ZGJG301G9Z71AR,1.80021E+14,emoney,T. Karna Sihombing,F,2001,5D,PGC 1 - Ancol,0,P00109,Matraman Baru,-6.21288,106.86115,7,4/3/2023 5:28,P00118,Kramat Sentiong,-6.18798,106.84595,13,4/3/2023 6:08,3500
